candidate,county,district,election_date,office,party,scope,state,votes
Timothy H. Bishop,Suffolk,1,2012-11-06,U.S. House,DEM,general,NY,135118
Randy Altschuler,Suffolk,1,2012-11-06,U.S. House,REP,general,NY,107226
Randy Altschuler,Suffolk,1,2012-11-06,U.S. House,CON,general,NY,20125
Timothy H. Bishop,Suffolk,1,2012-11-06,U.S. House,WOR,general,NY,11061
Randy Altschuler,Suffolk,1,2012-11-06,U.S. House,IND,general,NY,4953
Blank,Suffolk,1,2012-11-06,U.S. House,,general,NY,19719
Void,Suffolk,1,2012-11-06,U.S. House,,general,NY,155
Scattering,Suffolk,1,2012-11-06,U.S. House,,general,NY,176
Total,Suffolk,1,2012-11-06,U.S. House,,general,NY,298533
Vivianne C. Falcone,Nassau,2,2012-11-06,U.S. House,DEM,general,NY,20213
Vivianne C. Falcone,Suffolk,2,2012-11-06,U.S. House,DEM,general,NY,73719
Vivianne C. Falcone,Total,2,2012-11-06,U.S. House,DEM,general,NY,93932
Peter T. King,Nassau,2,2012-11-06,U.S. House,REP/TRP,general,NY,45814
Peter T. King,Suffolk,2,2012-11-06,U.S. House,REP/TRP,general,NY,70549
Peter T. King,Total,2,2012-11-06,U.S. House,REP/TRP,general,NY,116363
Peter T. King,Nassau,2,2012-11-06,U.S. House,CON,general,NY,6190
Peter T. King,Suffolk,2,2012-11-06,U.S. House,CON,general,NY,13325
Peter T. King,Total,2,2012-11-06,U.S. House,CON,general,NY,19515
Vivianne C. Falcone,Nassau,2,2012-11-06,U.S. House,WOR,general,NY,1623
Vivianne C. Falcone,Suffolk,2,2012-11-06,U.S. House,WOR,general,NY,4990
Vivianne C. Falcone,Total,2,2012-11-06,U.S. House,WOR,general,NY,6613
Peter T. King,Nassau,2,2012-11-06,U.S. House,IND,general,NY,1922
Peter T. King,Suffolk,2,2012-11-06,U.S. House,IND,general,NY,4509
Peter T. King,Total,2,2012-11-06,U.S. House,IND,general,NY,6431
Blank,Nassau,2,2012-11-06,U.S. House,,general,NY,7779
Blank,Suffolk,2,2012-11-06,U.S. House,,general,NY,23866
Blank,Total,2,2012-11-06,U.S. House,,general,NY,31645
Void,Nassau,2,2012-11-06,U.S. House,,general,NY,128
Void,Suffolk,2,2012-11-06,U.S. House,,general,NY,103
Void,Total,2,2012-11-06,U.S. House,,general,NY,231
Scattering,Nassau,2,2012-11-06,U.S. House,,general,NY,19
Scattering,Suffolk,2,2012-11-06,U.S. House,,general,NY,70
Scattering,Total,2,2012-11-06,U.S. House,,general,NY,89
Total,Nassau,2,2012-11-06,U.S. House,,general,NY,83688
Total,Suffolk,2,2012-11-06,U.S. House,,general,NY,191131
Total,Total,2,2012-11-06,U.S. House,,general,NY,274819
Steve J. Israel,Nassau,3,2012-11-06,U.S. House,DEM,general,NY,71663
Steve J. Israel,Queens,3,2012-11-06,U.S. House,DEM,general,NY,23321
Steve J. Israel,Suffolk,3,2012-11-06,U.S. House,DEM,general,NY,51287
Steve J. Israel,Total,3,2012-11-06,U.S. House,DEM,general,NY,146271
