candidate,county,district,party,votes,election_date,state,scope,office
Michael L. Conroy,Suffolk,1,DEM,24154,2014-11-04,NY,general,State Senate
Kenneth P. LaValle,Suffolk,1,REP,43972,2014-11-04,NY,general,State Senate
Kenneth P. LaValle,Suffolk,1,CON,8005,2014-11-04,NY,general,State Senate
Kenneth P. LaValle,Suffolk,1,IND,4496,2014-11-04,NY,general,State Senate
Blank,Suffolk,1,,4314,2014-11-04,NY,general,State Senate
Void,Suffolk,1,,44,2014-11-04,NY,general,State Senate
Scattering,Suffolk,1,,36,2014-11-04,NY,general,State Senate
Total,Suffolk,1,,85021,2014-11-04,NY,general,State Senate
Joseph Lombardi,Suffolk,2,DEM,22530,2014-11-04,NY,general,State Senate
John J. Flanagan,Suffolk,2,REP,40302,2014-11-04,NY,general,State Senate
John J. Flanagan,Suffolk,2,CON,7419,2014-11-04,NY,general,State Senate
John J. Flanagan,Suffolk,2,IND,2812,2014-11-04,NY,general,State Senate
Blank,Suffolk,2,,4198,2014-11-04,NY,general,State Senate
Void,Suffolk,2,,31,2014-11-04,NY,general,State Senate
Scattering,Suffolk,2,,37,2014-11-04,NY,general,State Senate
Total,Suffolk,2,,77329,2014-11-04,NY,general,State Senate
Adrienne Esposito,Suffolk,3,DEM,21213,2014-11-04,NY,general,State Senate
Thomas D. Croci,Suffolk,3,REP,26404,2014-11-04,NY,general,State Senate
Thomas D. Croci,Suffolk,3,CON,5681,2014-11-04,NY,general,State Senate
Adrienne Esposito,Suffolk,3,WOR,2035,2014-11-04,NY,general,State Senate
Thomas D. Croci,Suffolk,3,IND,1776,2014-11-04,NY,general,State Senate
Adrienne Esposito,Suffolk,3,GRE,952,2014-11-04,NY,general,State Senate
Blank,Suffolk,3,,2878,2014-11-04,NY,general,State Senate
Void,Suffolk,3,,25,2014-11-04,NY,general,State Senate
Scattering,Suffolk,3,,21,2014-11-04,NY,general,State Senate
Total,Suffolk,3,,60985,2014-11-04,NY,general,State Senate
